,Regiões / UF,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,Rondônia,15320.648229651517,17491.59625689604,18938.686786720096,18007.84655832153,19462.612886473395,20678.232093077524,22078.45500225416,24098.148558978774,25554.312462335183,26497.115336682302
1,Acre,11384.327529185884,11990.355871924816,13360.716600283893,14777.17568617238,17034.148330112454,16954.052764408894,16841.507185141396,17204.211322460105,17636.880111054477,17722.413717296036
2,Amazonas,17488.717170271746,19990.57797314689,20117.79516691114,21810.1249887351,22373.359247137923,21980.903669535423,22250.672529894557,22945.139700834854,24532.9032999547,26101.715317649527
3,Roraima,14713.548782862728,15871.957378067706,16424.010519312393,18461.877095613723,19608.404922302292,20256.30632041091,21416.98973077571,23160.878979898705,23188.917392914125,23593.838382390164
4,Pará,10874.907101536106,12838.595548836547,13741.423509095945,15210.804207910793,15430.532294358207,16011.950552297307,16694.321513975432,18553.75950740477,18952.212239820605,20734.602195860818
5,Amapá,12319.322360059461,13749.969738553013,15933.060315621144,17365.3818775819,17845.344848786415,18079.656901890787,18333.410135224705,19407.64868577117,20247.532431506035,20688.210640577137
6,Tocantins,11857.877419908802,13095.718819319016,14590.193605715122,16098.793109056354,17495.939984557677,19094.313474551378,20604.589330943534,22002.492582833136,22933.07485580445,25021.801741409563
7,Maranhão,7048.990507974222,7846.134600352701,9009.127143841984,9963.474468014449,11216.36677044316,11366.346256150573,12267.70153858009,12791.40401013906,13955.75381457706,13757.943155909019
8,Piauí,7139.801870470584,8260.717477566392,9060.413770361054,9824.73684224174,11808.083417073634,12218.896259856228,12893.716022616654,14091.928983622334,15432.053654842393,16124.999788247973
9,Ceará,9391.072771312862,10515.146374092032,11268.149727104723,12420.756665436467,14255.054950365982,14670.16115469094,15442.628829277879,16398.44686226945,17178.25631583189,17912.169298773755
10,Rio Grande do Norte,11421.396250459731,12815.667612789463,14377.12567603879,15269.437641468317,15849.32534011716,16632.177861952263,17173.359193543165,18336.452821732244,19249.60319222597,20342.10734526394
11,Paraíba,8899.38120271565,9787.932859986522,11136.682785786108,11847.805660564785,13422.420549536191,14133.694676399115,14778.356682848753,15500.155636778487,16107.5090218303,16919.841893265933
12,Pernambuco,11049.273180723298,12426.70356165067,14330.829927035105,15328.173469431003,16722.053573288063,16796.229191731032,17783.10904578172,19170.73803714293,19623.652684864242,20702.30287796929
13,Alagoas,8693.91732699119,10071.095587669683,10946.360437564628,11294.535979149883,12335.437863599118,13878.525693334945,14727.38488297227,15655.757702920286,16375.562522917684,17667.791827006095
14,Sergipe,12768.13221173557,13928.609059392598,15563.83268282542,16093.5453973738,16882.713305364032,17190.197701213852,17158.530678971154,17792.579643280023,18442.625526471533,19441.232281685134
15,Bahia,11013.108174440877,11817.86948668147,12879.586463261627,13616.219630434976,14803.945121272121,16117.124005771455,16936.985069891543,17512.790798327067,19324.0357940201,19716.213389824043
16,Minas Gerais,17918.74870424067,20281.349848432405,22275.267412700683,23697.201321492983,24917.120051133526,24885.17416963172,25946.370358856057,27291.108321828928,29223.216446129733,30794.044136364235
17,Espírito Santo,24286.436235595822,29877.242440074813,32657.460171173534,30545.23766186476,33148.56032624197,30628.169421125946,27496.918636418446,28234.53319166321,34493.119723926626,34177.04837048664
18,Rio de Janeiro,28127.41216942249,31823.87836302533,35418.153256118545,38378.593658560065,40767.255426414056,39827.069243837,38494.9122644875,40170.31135519904,44222.65826172075,45174.08004681782
19,São Paulo,31384.92598810155,34546.04615966149,37207.35293384799,39282.96581224808,42197.87049732941,43694.944561994016,45559.130613109985,47028.8931585153,48542.23975451909,51140.823937580964
20,Paraná,21572.20900559,24459.06890362696,27001.967961851737,30323.456556398312,31410.744030934566,33768.89848568485,35739.94232856031,37231.860371279974,38772.741699235215,40788.76949010171
21,Santa Catarina,24597.412698086926,27555.30057773012,30046.382402750853,32334.04110992942,36055.899299548866,36526.27984833521,37153.997448477276,39603.46527996734,42149.29587155355,45118.412073709565
22,Rio Grande do Sul,22556.06957205587,24695.395083331077,26701.10658428567,29764.55089571081,31927.159434711957,33961.019917004014,36219.33531671046,37381.786840020686,40362.745001885065,42406.08617527065
23,Mato Grosso do Sul,19299.336595284225,22253.16965389483,24754.89918328668,26747.586456554545,30137.5839290125,31337.303072089744,34257.6665556006,35529.38110462592,38925.85385758494,38482.830217213595
24,Mato Grosso,18655.610835803414,22482.248246124902,25572.102381252913,28035.74812887235,31396.808811837127,32895.04797449038,37476.67033086389,37926.215888092804,39931.125129637796,40787.31948131045
25,Goiás,17783.029520571796,19947.769446651393,22543.934232866613,23515.549637053857,25296.59705981338,26265.440767311648,27145.092529150363,28316.087493269733,28272.962293899756,29732.39761175365
26,Distrito Federal,56252.90009835459,59221.866819379924,61959.355776942415,63054.40700194525,69216.79869501696,73970.99070560012,79114.19420380107,80515.46576850869,85661.39365590253,90742.75038787414
